,HURR_STAT_TRANSFO_2016,HURR_STAT_TRANSFO_2012,SHIP,TRUTH,HWRF,OFCL,FSSE,GFSO,DSHP,Consensus_wo_HURR,Consensus_HURR_STAT_TRANSFO,HURR_STAT_GRU_2016,HURR_STAT_GRU_2012,Consensus_HURR_STAT_GRU,HURR_STAT_COMP_2016,HURR_STAT_COMP_2012,Consensus_HURR_STAT_COMP,HURR_STAT_2016,HURR_STAT_2012,Consensus_HURR_STAT,HURR_GRU_ONLY_2016,HURR_GRU_ONLY_2012,Consensus_HURR_GRU_ONLY,HURR_TRANSFO_ONLY_2016,HURR_TRANSFO_ONLY_2012,Consensus_HURR_TRANSFO_ONLY,HURR_STAT_TRANSFO_COMP_2016,HURR_STAT_TRANSFO_COMP_2012,Consensus_HURR_STAT_TRANSFO_COMP,CONSENSUS_HURR_4_XGB_ElasticNet_MAE,CONSENSUS_HURR_4_XGB_MLP_MSE
432,37.160416,36.627544,46.0,50.0,43.0,45.0,51.0,42.0,46.0,46.666668,44.290104,47.48912,43.15534,46.87228,39.197815,38.458096,44.799454,39.207905,37.94209,44.801975,46.85191,45.32188,46.71298,41.27695,42.82998,45.319237,35.441013,36.406197,43.860252,43.218185,42.54608320465859
433,45.831505,45.525627,55.0,50.0,52.0,55.0,53.0,36.0,55.0,53.333332,51.45788,46.136646,47.893547,51.53416,47.12102,44.70686,51.780254,45.189713,44.171154,51.29743,48.60164,47.875114,52.15041,42.38455,42.199917,50.596138,46.16806,47.474617,51.542015,46.070686,46.212611371308505
434,52.19972,50.401505,48.0,50.0,49.0,55.0,58.0,36.0,48.0,51.666668,51.79993,49.81954,49.511585,51.204884,49.26819,47.48897,51.067047,49.502434,47.688175,51.12561,50.445198,50.94673,51.361298,47.195858,47.14685,50.548965,47.33913,50.96918,50.58478,50.60512,50.68755212929463
435,49.8053,49.853775,52.0,50.0,59.0,55.0,59.0,55.0,52.0,56.666668,54.951324,48.59233,49.612804,54.648083,49.11538,49.999626,54.778847,51.441452,49.35994,55.360363,52.728237,52.68907,55.68206,47.995235,48.8298,54.49881,50.619415,47.995613,55.154854,48.38348,47.71555521978034
436,51.33676,48.801144,51.0,50.0,44.0,55.0,59.0,39.0,51.0,51.333332,51.33419,50.61737,51.772602,51.154343,49.236374,48.94872,50.809093,50.547417,49.721348,51.136856,53.812435,52.021545,51.95311,49.14807,50.718082,50.787018,52.106125,49.97891,51.52653,50.551956,50.39378359732394
437,51.322353,50.005867,46.0,50.0,53.0,50.0,51.0,46.0,46.0,50.0,50.33059,51.675137,52.098854,50.418785,49.14016,48.41741,49.78504,50.390083,50.052822,50.09752,53.46738,52.70802,50.866844,50.73584,51.800564,50.18396,51.97341,51.176796,50.493355,51.256638,51.20237087867523
438,49.497253,47.84861,53.0,50.0,53.0,55.0,59.0,64.0,53.0,55.0,53.624313,50.392437,51.13159,53.84811,47.749977,46.203167,53.187492,48.37258,46.392513,53.343147,53.497063,52.265568,54.624268,48.475655,48.722927,53.36891,46.61893,49.12302,52.90473,49.832157,49.749412459572234
439,47.108826,46.803917,55.0,50.0,70.0,55.0,57.0,63.0,55.0,60.666668,57.277206,50.31734,49.47917,58.079334,47.712814,47.72903,57.428204,47.68899,45.80525,57.42225,53.302147,51.59796,58.82554,48.29213,48.357876,57.573032,45.645363,43.91449,56.91134,48.932816,48.82434939475378
440,48.342598,43.6943,51.0,55.0,51.0,55.0,61.0,54.0,51.0,54.333332,52.835648,51.32045,49.7049,53.580112,47.832664,45.444336,52.708168,46.518833,44.87647,52.379707,53.924458,51.829952,54.231113,48.853832,49.006096,52.96346,46.455574,46.234234,52.36389,50.36386,50.63782523043255
441,48.36768,44.531223,48.0,55.0,60.0,50.0,54.0,51.0,48.0,54.0,52.59192,50.583843,50.73622,53.14596,46.96211,42.306767,52.24053,47.257896,44.445698,52.314476,53.207905,50.15522,53.801975,53.769405,50.775978,53.942352,45.218666,43.78029,51.804665,49.583176,49.542298511846234
